planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,Radial_Velocity_Amplitude,planet_temperature,star_temperature,star_radius,star_mass,Predicted Temperature
HAT-P-2 b,1,5.63341,0.0677,11.007,87.3,0.52,,1011.0,,6290.0,1.47,1.3,1366.449
HAT-P-20 b,1,2.875317,0.0361,9.718,86.8,0.015,,1246.0,970.0,4595.0,0.69,0.76,930.4531
HAT-P-20 b,1,2.87531694,0.03593,11.489,86.88,0.0172,,1249.5,964.0,4595.0,0.68,0.74,915.853
HAT-P-20 b,1,2.8753186,0.03617,9.718,86.8,0.0158,,1249.7,,4595.0,0.69,0.76,929.5626
HAT-P-21 b,1,4.124481,0.0494,11.478,87.2,0.228,,548.3,1283.0,5588.0,1.1,0.95,1188.1321
HAT-P-21 b,1,4.124481,0.0495,11.478,87.2,0.217,,533.8,,5588.0,1.1,0.95,1186.8987
HAT-P-22 b,2,3.21223328,0.04171,11.882,86.46,,,,1293.0,5314.0,1.06,0.94,1284.8604
HAT-P-22 b,2,3.21222,0.0414,12.106,86.9,0.016,,313.3,1283.0,5302.0,1.04,0.92,1268.6599
HAT-P-22 b,2,3.21222,0.04142,12.106,86.9,0.002,,316.49,,5302.0,1.04,0.92,1268.2345
HAT-P-23 b,1,1.21288287,0.02302,13.72,85.74,0.0,,368.5,1951.0,5885.0,1.09,1.1,1886.3416
