,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
1251,HIP 948 b,,20.17031,Mass,24955.45756,0.230499,110.998,,0.71,,,1,1
1252,HIP 97166 b,0.244,0.06293,Mass,10.28891,0.16,,757,0.9,0.27,3.33,1,2
1253,HIP 97166 c,,0.03115,Msini,16.84,,,642,0.9,0.27,3.33,1,2
1254,HIP 97233 b,,20.13421,Mass,1062.26506,0.630174,86.083,354.9746161,1.81,0.29,,1,1
1255,HN Peg b,1.051,21.9987,Mass,,,,,,,0.3,1,1
1256,HR 2562 b,1.11,30,Mass,,,,1200,1.3,0.02,0.6,1,1
1257,HR 5183 b,,3.23,Msini,27000,0.84,,171,1.07,0.1,7.7,2,1
1258,HR 810 b,,2.27,Msini,302.79999,0.14,,320.472498,1.34,0.16,,1,1
1259,HR 858 b,0.186,,,3.58599,,85.5,1572,1.15,-0.14,,2,3
1260,HR 858 c,0.173,,,5.97293,,86.23,1326,1.15,-0.14,,2,3
1261,HR 858 d,0.193,,,11.23,,87.43,1075,1.15,-0.14,,2,3
1262,HR 8799 b,1.2,7,Mass,170000,,34.135,51.14273695,1.5,-0.47,0.06,1,4
1263,HR 8799 c,,10,Mass,69000,,33.215,69.07441935,1.5,-0.47,0.06,1,4
1264,HR 8799 d,,10,Mass,37000,,41.815,85.02233574,1.5,-0.47,0.06,1,4
1265,HR 8799 e,1.17,10,Mass,19407.8,0.15,25,1150,1.576666667,-0.5,0.03,1,4
1266,HU Aqr AB b,,,,2390,,,,0.88,,,2,2
1267,HU Aqr AB c,,,,4368,0.51,,,0.88,,,2,2
1268,HW Vir b,,,,4640,0.4,,,0.48,,,3,1
1269,IC 4651 9122 b,,6.3,Msini,734,0.18,,,2.1,0.12,1.14,1,1
1270,K2-10 b,0.343,0.08495,Mass,19.3044,0.31,89.504,703,0.92,-0.07,,1,1
1271,K2-100 b,0.346,0.06859,Mass,1.6739035,0.24,81.27,1841,1.15,0.22,0.75,1,1
1272,K2-101 b,0.178,,,14.6762429,0.1,89.17233333,618,0.82,0.07,0.79,1,1
1273,K2-102 b,0.116,,,9.915615,0.1,89,672.717106,0.77,0.14,0.79,1,1
1274,K2-104 b,0.16,,,1.9741954,0.135,88.25,798,0.51,0.18,0.79,1,1
1275,K2-105 b,0.32,0.09439,Mass,8.2669928,,88.9075,928,1.05,0.23,,1,1
1276,K2-107 b,1.426,0.84,Mass,3.313959,,82.1305,1649,1.3,0.14,4.25,1,1
1277,K2-108 b,0.476,0.18689,Mass,4.733999,0.18,86.135,1360,1.17,0.36,7.8,1,1
1278,K2-11 b,0.674,,,39.93767,,,734,1.35,-0.12,,1,1
1279,K2-110 b,0.228,0.05254,Mass,13.86387,0.079,89.355,575,0.75,-0.21,8,1,1
1280,K2-111 b,0.162,0.01664,Mass,5.3518,0.13,86.43,1309,0.84,-0.46,12.3,1,2
1281,K2-111 c,,0.03555,Msini,15.6785,0.07,,915.3895661,0.84,-0.46,12.3,1,2
1282,K2-113 b,1.083,1.29,Mass,5.817685,,86.21,1098,1.04,0.27,5.9,1,1
1283,K2-114 b,0.932,2.01,Mass,11.3909311,0.081,89.21,701,0.86,0.41,7.2,1,1
1284,K2-115 b,1.076,0.84,Mass,20.272615,0.137,88.82,619,0.95,-0.1,10.7,1,1
1285,K2-116 b,0.062,,,4.655411,0.06,89.09,790.4014531,0.69,0.01,,1,1
1286,K2-117 b,0.181,,,1.2916,0.06,88.36,868,0.54,-0.05,,1,2
1287,K2-117 c,0.184,,,5.444017,0.15,89.49,537,0.54,-0.05,,1,2
1288,K2-118 b,0.227,,,50.92092,0.2,89.5,389.032653,0.76,,,1,1
1289,K2-119 b,0.226,,,7.727283,0.07,89.4,666,0.76,-0.05,,1,1
1290,K2-12 b,0.208,,,8.28212,,87.608,1003,1.01,0.03,,1,1
1291,K2-120 b,0.179,,,9.562742,0.14,89.57,604.4558978,0.69,-0.303,,1,1
1292,K2-121 b,0.671,,,5.1857539,0.22,88.1385,738,0.69,-0.16,,1,1
1293,K2-122 b,0.103,,,2.2193023,0.21,86.39,769,0.63,0.32,,2,1
1294,K2-123 b,0.246,,,30.951524,0.06,89.79,338,0.62,0.03,,1,1
1295,K2-124 b,0.259,,,6.413651,0.08,89.03,442,0.39,0.023,,1,1
1296,K2-125 b,0.194,,,21.750264,0.08,89.72,321.4256665,0.49,,,1,1
1297,K2-126 b,0.176,,,7.385655,0.06,89.0375,601,0.69,0.02,,1,1
1298,K2-127 b,0.747,,,3.588163,0.12,87.22,809,0.72,-0.11,,1,1
1299,K2-128 b,0.127,,,5.675819,0.23,87.4,761.1263626,0.71,-0.26,,1,1
1300,K2-129 b,0.093,,,8.239493,0.13,89.21,373.6348631,0.36,,,1,1
1301,K2-13 b,0.169,,,39.91488,,,511,0.8,-0.54,,1,1
1302,K2-130 b,0.112,,,2.49412,0.17,86.53,988.0544494,0.7,-0.24,,1,1
1303,K2-131 b,0.134,0.020135,Mass,0.369311,,89.7,2062,0.8175,-0.02,,1,1
1304,K2-132 b,1.3,0.49,Mass,9.1751,0.325,82.2285,1586,1.08,-0.01,8.5,1,1
1305,K2-133 b,0.12,,,3.07133,,87.6,672.6550481,0.46,,,1,4
1306,K2-133 c,0.143,,,4.86784,,88.21,576.9291305,0.46,,,1,4
1307,K2-133 d,0.179,,,11.02454,,89.4,439.3201001,0.46,,,1,4
1308,K2-133 e,0.154,,,26.5841,,89.164,296,0.46,,,1,4
1309,K2-136 b,0.088,,,7.975292,0.1,89.3,553,0.74,0.15,,2,3
1310,K2-136 c,0.26,,,17.307137,0.13,89.6,425,0.74,0.15,0.688,2,3
1311,K2-136 d,0.129,,,25.575065,0.14,89.4,373,0.74,0.15,,2,3
1312,K2-137 b,0.057,,,0.179719,,93.1,1471,0.46,-0.059,,1,1
1313,K2-138 b,0.135,0.00975,Mass,2.35309,0.048,87.2,1157,0.94,0.14,2.8,1,6
1314,K2-138 c,0.205,0.01985,Mass,3.56004,0.045,88.1,1012,0.94,0.14,2.8,1,6
1315,K2-138 d,0.213,0.02492,Mass,5.40479,0.043,89,888,0.94,0.14,2.8,1,6
1316,K2-138 e,0.302,0.04081,Mass,8.26146,0.077,88.6,757,0.94,0.14,2.8,1,6
1317,K2-138 f,0.259,0.00513,Mass,12.75758,0.062,88.8,653,0.94,0.14,2.8,1,6
1318,K2-138 g,0.269,0.01359,Mass,41.96797,0.059,89.4,445,0.94,0.14,2.8,1,6
1319,K2-139 b,0.813,0.387,Mass,28.380619,0.12,89.5885,524,0.96,0.24,1.8,1,1
1320,K2-14 b,0.429,,,8.36802,0.14,88.19,488,0.47,-0.37,,1,1
1321,K2-140 b,1.21,0.93,Mass,6.569188,0.12,88.3,962,0.96,0.1,9.8,1,1
1322,K2-141 b,0.135,0.01598,Mass,0.2803244,,86.3,2039,0.71,-0.06,6.3,1,2
1323,K2-141 c,0.624,,,7.7485,,87.2,699.3844026,0.71,-0.06,6.3,1,2
