planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
AU Mic c;1;18.858982;0.11;2.79;89.39;0.13;;;;;0.75;;
AU Mic c;1;18.859019;;;;0.041;;8.5;;3700.0;0.75;0.5;0.11005357691102728
AU Mic d;1;12.73596;;;89.318;0.00305;;;;3678.0;0.74;0.51;0.08527321001941146
BD+03 2562 b;1;481.9;1.3;;;0.2;;155.7;;4095.0;32.35;1.14;1.2566306942832899
BD+14 4559 b;1;268.94;0.78;;;0.29;;55.2;;4864.0;0.86;0.49;0.6428412288002964
BD+14 4559 b;1;268.94;0.777;;;0.29;;55.21;;5008.0;0.95;0.86;0.7754215140360807
BD+15 2375 b;1;153.22;0.576;;;0.001;;38.3;;4649.0;8.95;1.08;0.5749361980131131
BD+15 2940 b;1;137.48;0.539;;;0.26;;42.7;;4796.0;14.7;1.1;0.538135950398932
BD+20 2457 b;1;379.63;1.05;;;0.15;;322.4;;4259.0;71.02;10.83;2.270132803883929
BD+20 2457 b;1;379.63;1.45;;;0.15;;322.35;;4137.0;49.0;2.8;1.44619810884361
BD+20 2457 c;1;621.99;2.01;;;0.18;;160.03;;4137.0;49.0;2.8;2.009908904561788
BD+20 274 b;1;578.2;1.3;;;0.21;;121.4;;4296.0;17.3;0.8;1.260908239794149
BD+20 594 b;1;41.688644;;2.355;89.526;;;;;5703.0;0.96;0.96;0.23211525608408587
BD+20 594 b;1;41.6855;;2.578;89.55;0.0;;3.1;;5766.0;1.08;1.67;0.2791452631310858
BD+20 594 b;1;41.6855;0.241;2.23;89.55;0.0;;3.1;546.0;5766.0;0.93;0.96;0.2321035857670535
BD+45 564 b;1;307.88;0.83;;2.579;0.12;;47.68;;5004.0;;0.81;0.8317971354985609
BD+48 738 b;1;392.6;1.0;;;0.2;;31.9;;4414.0;11.0;0.74;0.9491004929528319
BD+48 740 b;1;733.0;1.7;;;0.76;;54.0;;4534.0;10.33;1.09;1.6373677969512621
BD+49 828 b;1;2590.0;4.2;;;0.35;;18.8;;4943.0;7.6;1.52;4.243743576384465
BD+55 362 b;1;265.59;0.78;;601.0;0.27;;25.12;;5012.0;;0.91;0.7835914806366726
BD+60 1417 b;1;;1662.0;14.684;;;;;1303.0;4993.0;0.8;1.0;
BD+63 1405 b;1;1230.0;2.115;;23.5;0.891;;;;5000.0;;0.82;2.102855612681368
BD+63 1405 b;1;1198.48;2.06;;5.974;0.88;;186.01;;5000.0;;0.82;2.0667751938178047
BD-06 1339 b;1;3.8728;0.0428;;;0.0;;4.4;;4324.0;;0.7;0.04285328856222201
BD-06 1339 c;1;125.94;0.435;;;0.31;;9.1;;4324.0;;0.7;0.4365927988535556
BD-08 2823 b;1;5.6;0.056;;;0.15;;6.5;;4746.0;;0.74;0.055821823614320455
BD-08 2823 b;1;5.6;0.06;;;0.15;;6.5;;4816.0;0.71;0.5;0.04898353401861231
